NAMN1	PERSORGNR	JUR_FORM_GRUPPERING
7-MILA SKIDKLUBB	16802496-4937	Ideella föreningar m.fl.
AC-VALLARNA	16802496-4648	Ideella föreningar m.fl.
Alternativ Barnomsorg Bönan i	16769600-3768	Ekonomiska föreningar m.fl.
ANDRA VARVET EKONOMISK FÖRENING	16769609-6994	Ekonomiska föreningar m.fl.
A-NET UNGDOMSFORUM	16894003-7990	Ideella föreningar m.fl.
ASK RISKEN	16894001-9659	Ideella föreningar m.fl.
A-TEKNIK I ROBERTFORS VERKSTADSKLUBB	16894002-3941	Ideella föreningar m.fl.
BAKVIKENS VÄGFÖRENING	16802549-9586	Ideella föreningar m.fl.
BOBACKEN-FÄLLFORS PLOGFÖRENING	16802522-5437	Ideella föreningar m.fl.
BOBACKENS BAGARSTUGEFÖRENING	16802539-8358	Ideella föreningar m.fl.
BREDNORETS VATTENFÖRENING	16894001-6820	Ideella föreningar m.fl.
BRF BRUKSPLATSEN	16716463-6081	Ekonomiska föreningar m.fl.
Brukets Bio Robertsfors Ekonomisk	16769616-1285	Ekonomiska föreningar m.fl.
BRUKSHUNDSKLUBBEN NORRA	16894003-3262	Ideella föreningar m.fl.
BRÄNDE BYAMÄN	16894002-4824	Ideella föreningar m.fl.
BRÄNDE BYASTUGA	16894002-2166	Ideella föreningar m.fl.
Brännans bredbandsförening Ekonomisk	16769641-2001	Ekonomiska föreningar m.fl.
BUAFORS JAKTKLUBB	16802496-7682	Ideella föreningar m.fl.
BUS - BARENTS UNGDOM SVERIGE	16894003-8600	Ideella föreningar m.fl.
BYALAGET SKINNARBYN	16894001-0948	Ideella föreningar m.fl.
BYAMÄNNEN	16894002-0848	Ideella föreningar m.fl.
BYGDANET EKONOMISK FÖRENING	16769606-9173	Ekonomiska föreningar m.fl.
BYGDANET VISION EKONOMISK FÖRENING	16769607-6665	Ekonomiska föreningar m.fl.
BYGDEÅ BYARÅD	16802508-0097	Ideella föreningar m.fl.
BYGDEÅ CENTERKVINNOR	16802499-1229	Ideella föreningar m.fl.
BYGDEÅ GYMNASTIK O IDROTTSFÖRENING	16894000-0204	Ideella föreningar m.fl.
BYGDEÅ HEMBYGDSFÖRENING	16894003-0771	Ideella föreningar m.fl.
BYGDEÅ JAKTSKYTTEKLUBB	16802453-4102	Ideella föreningar m.fl.
BYGDEÅ JU-JUTSUKLUBB	16894003-8964	Ideella föreningar m.fl.
BYGDEÅ LRF AVD	16802524-7324	Ideella föreningar m.fl.
BYGDEÅ NYSÄTRA BIODLAREFÖRENING	16802534-8247	Ideella föreningar m.fl.
BYGDEÅ NYSÄTRA TRÄDGÅRDSSÄLLSKAP	16802541-1854	Ideella föreningar m.fl.
BYGDEÅ SKOL-IF	16802535-8089	Ideella föreningar m.fl.
BYGDEÅ SOCIALDEMOKRATISKA	16802542-0103	Ideella föreningar m.fl.
BYGDEÅ-NYSÄTRA SLÄKTFORSKARFÖRENING	16802501-4260	Ideella föreningar m.fl.
BYGGN FÖREN ENIGHET GER STYRKA UPA	16894002-1291	Ideella föreningar m.fl.
BYGGNADSFÖRENINGEN DJÄKNEBORG UPA	16716415-1321	Ekonomiska föreningar m.fl.
BYGGNADSVÅRD NORR	16802494-5548	Ideella föreningar m.fl.
CENTRUMHUSET I ROBERTSFORS	16769608-6375	Ekonomiska föreningar m.fl.
CRAZY LEGS ROBERTSFORS	16802522-2061	Ideella föreningar m.fl.
DALKARLSÅ FOLKHÖGSKOLA	16894002-5664	Ideella föreningar m.fl.
DALKARLSÅ VÄGFÖRENING	16802520-3053	Ideella föreningar m.fl.
DJÄKNEBODA BYAFÖRENING	16802472-5205	Ideella föreningar m.fl.
DRÖMVALLENS FÖRÄLDRAKOOPERATIV	16769600-3156	Ekonomiska föreningar m.fl.
EDFASTGÅRDENS BOENDEFÖRENING	16802503-1496	Ideella föreningar m.fl.
ENSKILDA VÄG AC 1512  NORRA SANDSJÖ	16894002-8924	Ideella föreningar m.fl.
ENSKILDA VÄGEN 11142 STRAND	16802524-8512	Ideella föreningar m.fl.
ENSKILDA VÄGEN 146	16802522-1592	Ideella föreningar m.fl.
ENSKILDA VÄGEN AC 1022	16894002-7967	Ideella föreningar m.fl.
ERITREANSK FÖRENING ROBERTSFORS	16802494-1307	Ideella föreningar m.fl.
ESTERSMARKS BYAFÖRENING	16894002-3016	Ideella föreningar m.fl.
ESTERSMARKS VÄSTRA VÄGSAMFÄLLIGHET	16894001-1599	Ideella föreningar m.fl.
FLARKENS FOLKETSHUSFÖRENING UPA	16794000-0461	Ekonomiska föreningar m.fl.
FLARKENS FRISKOLEFÖRENING	16802418-0534	Ideella föreningar m.fl.
FLARKENS IDROTTSKLUBB	16894000-6748	Ideella föreningar m.fl.
FLARKENS INDUSTRI ETABLERING EK FÖR	16716415-2451	Ekonomiska föreningar m.fl.
FLARKENS KAPELLFÖRENING	16894002-0798	Ideella föreningar m.fl.
FLARKENS UNGDOMSSKYTTEFÖRENING	16894002-9609	Ideella föreningar m.fl.
FLARKENS ÄLGJAKTLAG	16802525-4239	Ideella föreningar m.fl.
FRIENDSHIP TAJIKISTAN NON-PROFIT	16802546-6866	Ideella föreningar m.fl.
FRILUFTSFRÄMJANDET	16894000-5625	Ideella föreningar m.fl.
