AssociationID;AssociationName;Municipality;TagsAdded;TagsAlreadyLinked;TagsCreated;Source
cmh7u647d0003b54kkjluy1p1;ABF-FyrBoDal Alingsås;Alingsås;"";0;"";db:baseline
cmh7u647z0007b54kaold2mqg;Adoptionscentrums lokalavdelning Göteborg;Alingsås;"";0;"";db:baseline
cmh7u648k000ab54kp2aj1mq8;Adrenaline Fighters;Alingsås;"";0;"";db:baseline
cmh7u6495000db54k4xdbdc6x;AFK - Alingsås Fantasy Klubb;Alingsås;"";0;"";db:baseline
cmh7u64a1000gb54kf3appksf;Aktiv Arena Aktiv Ungdom;Alingsås;"";0;"";db:baseline
cmh7u64an000jb54kkcvi8mj4;Aktiva Seniorer;Alingsås;"";0;"";db:baseline
cmh7u64b1000lb54kxg6sfm3o;Alingsås Arkivförening;Alingsås;"";0;"";db:baseline
cmh7u64bk000ob54kwlrwtgh6;Alingsås Blåbandsförening;Alingsås;"";0;"";db:baseline
cmh7u64c6000rb54k7t7xzouh;Alingsås Brukarförening;Alingsås;"";0;"";db:baseline
cmh7u64cv000wb54kda4gm8sl;Alingsås Brukshundklubb;Alingsås;"";0;"";db:baseline
cmh7u64de000yb54k5pp3euko;Alingsås Bågskytteklubb;Alingsås;"";0;"";db:baseline
cmh7u64dz0011b54kad3v1c52;Alingsås CF Kidz;Alingsås;"";0;"";db:baseline
cmh7u64f60016b54k4lap9b9y;Alingsås Dansklubb;Alingsås;"";0;"";db:baseline
cmh7u64fx0019b54ktaz92m9n;Alingsås Dart Club;Alingsås;"";0;"";db:baseline
cmh7u64gp001eb54ke80rwupk;Alingsås Drill och Dansförening;Alingsås;"";0;"";db:baseline
cmh7u64he001ib54koxem0uk6;Alingsås Dykarklubb;Alingsås;"";0;"";db:baseline
cmh7u64i3001lb54k0l1luhlz;Alingsås Filmstudio;Alingsås;"";0;"";db:baseline
cmh7u64iu001ob54k8aan2czg;Alingsås Folkdansgille;Alingsås;"";0;"";db:baseline
cmh7u64jj001sb54kn0pood56;Alingsås Fotoklubb;Alingsås;"";0;"";db:baseline
cmh7u64k4001xb54k3qcmfp6m;Alingsås Friluftsklubb;Alingsås;"";0;"";db:baseline
cmh7u64kq0020b54k6q4v1k3o;Alingsås Frivilliga Skarpskytteförening;Alingsås;"";0;"";db:baseline
cmh7u64la0025b54k88im4lwk;Alingsås Fäktklubb;Alingsås;"";0;"";db:baseline
cmh7u64lt0028b54kb0igbvan;Alingsås Golfklubb;Alingsås;"";0;"";db:baseline
cmh7u64m9002db54k7o0cb15r;Alingsås Handbollsklubb;Alingsås;"";0;"";db:baseline
cmh7u64mm002fb54k4eshfzzi;Alingsås Hembygdsförening;Alingsås;"";0;"";db:baseline
cmh7u64n4002ib54k7ga64ab3;Alingsås Hemvärnsförening;Alingsås;"";0;"";db:baseline
cmh7u64nm002nb54kjmx1e338;Alingsås humanistiska förbund;Alingsås;"";0;"";db:baseline
cmh7u64o4002qb54ki4oobbr8;Alingsås Idrottshistoriska Sällskap;Alingsås;"";0;"";db:baseline
cmh7u64oh002sb54kin7hz8tm;Alingsås IF Alliansförening;Alingsås;"";0;"";db:baseline
cmh7u64oy002vb54kkyqk4764;Alingsås IF Fotbollsförening;Alingsås;"";0;"";db:baseline
cmh7u64pf0030b54k29ua1zvx;Alingsås IF Friidrottförening;Alingsås;"";0;"";db:baseline
cmh7u64pw0036b54kz02r9l0a;Alingsås IF Gymnastikförening;Alingsås;"";0;"";db:baseline
cmh7u64qd0039b54k1y0ven2v;Alingsås Islamska center;Alingsås;"";0;"";db:baseline
cmh7u64qp003bb54khtsgjthl;Alingsås Judoklubb;Alingsås;"";0;"";db:baseline
cmh7u64r7003eb54kapht5wet;Alingsås Ju-Jutsu Klubb;Alingsås;"";0;"";db:baseline
cmh7u64rp003ib54kbfwgtw8r;Alingsås Karateklubb;Alingsås;"";0;"";db:baseline
cmh7u64s8003ob54ksn1pvlth;Alingsås Klätterklubb;Alingsås;"";0;"";db:baseline
cmh7u64sp003rb54kjv1bikri;Alingsås Konstförening;Alingsås;"";0;"";db:baseline
cmh7u64t6003vb54kqfri6x8j;Alingsås Konståkningsklubb;Alingsås;"";0;"";db:baseline
cmh7u64tq003yb54ku5kq2ybz;Alingsås Krav Maga IF;Alingsås;"";0;"";db:baseline
cmh7u64u80041b54kb6p097a0;Alingsås Kvinnliga Idrottsklubb;Alingsås;"";0;"";db:baseline
cmh7u64us0046b54km3l6mecu;Alingsås Lokalavdelning av MHF;Alingsås;"";0;"";db:baseline
cmh7u64vb0049b54kj3bcm8yt;Alingsås Manskör;Alingsås;"";0;"";db:baseline
cmh7u64vu004eb54km34n05re;Alingsås Modellflygklubb;Alingsås;"";0;"";db:baseline
cmh7u64wc004jb54kk3e7xw4h;Alingsås Motorcykelklubb;Alingsås;"";0;"";db:baseline
cmh7u64wx004mb54kn68vkmt4;Alingsås Motorveteraner;Alingsås;"";0;"";db:baseline
cmh7u64xe004qb54k6ehffjbg;Alingsås Musikteatersällskap;Alingsås;"";0;"";db:baseline
cmh7u64xx004vb54kz16k2r0v;Alingsås Numismatiska Förening;Alingsås;"";0;"";db:baseline
cmh7u64yf004yb54kcvo3gckv;Alingsås Närradioförening;Alingsås;"";0;"";db:baseline
cmh7u64yy0051b54kikqkrkd0;Alingsås Padel Club;Alingsås;"";0;"";db:baseline
cmh7u64zg0055b54kvzpj4pud;Alingsås Pensionärsförening;Alingsås;"";0;"";db:baseline
cmh7u64zy0059b54k64rvtafb;Alingsås Pingisklubb;Alingsås;"";0;"";db:baseline
cmh7u650h005fb54knyiv5ymk;Alingsås RC Klubb;Alingsås;"";0;"";db:baseline
cmh7u650z005ib54k8a9q211e;Alingsås Rugbyklubb;Alingsås;"";0;"";db:baseline
cmh7u651j005lb54k61aw2n39;Alingsås Ryttarsällskap;Alingsås;"";0;"";db:baseline
cmh7u652a005vb54kd7apoilg;Alingsås Schacksällskap;Alingsås;"";0;"";db:baseline
cmh7u652w005zb54kg1vjemm4;Alingsås Scoutkår;Alingsås;"";0;"";db:baseline
cmh7u653i0064b54k6n0aypm1;Alingsås Segelsällskap;Alingsås;"";0;"";db:baseline
cmh7u654c0068b54kur5j1xie;Alingsås Seniorbowlare;Alingsås;"";0;"";db:baseline
cmh7u654w006eb54kl0o5if1a;Alingsås Sim & livräddningssällskap;Alingsås;"";0;"";db:baseline
cmh7u6578006kb54kwev6eyuf;Alingsås Skateboardförening;Alingsås;"";0;"";db:baseline
cmh7u657w006rb54khhx38tde;Alingsås Skutt & lek;Alingsås;"";0;"";db:baseline
cmh7u6588006tb54k6dit83dx;Alingsås Släktforskarförening;Alingsås;"";0;"";db:baseline
cmh7u658m006vb54k9vvrcew1;Alingsås Sportfiskeförening;Alingsås;"";0;"";db:baseline
cmh7u6594006zb54kfnn9g703;Alingsås Sportsclub;Alingsås;"";0;"";db:baseline
cmh7u659o0072b54kny991s2p;Alingsås Teaterförening;Alingsås;"";0;"";db:baseline
cmh7u65a60077b54ka5v0lah5;Alingsås Tennisklubb;Alingsås;"";0;"";db:baseline
cmh7u65ao007cb54k2au8v43m;Alingsås tillsammansodling;Alingsås;"";0;"";db:baseline
cmh7u65b6007gb54kk6dyn3lm;Alingsås Triathlonklubb;Alingsås;"";0;"";db:baseline
cmh7u65bo007lb54kor98xkxq;Alingsås trädgårdsförening;Alingsås;"";0;"";db:baseline
cmh7u65c6007qb54kxdbrw6fr;Alingsås Ungdomsförening;Alingsås;"";0;"";db:baseline
cmh7u65ct007tb54kwxubv6vs;Alingsås Vattenskidklubb;Alingsås;"";0;"";db:baseline
cmh7u65da007wb54k0w5alr1h;Alingsås Volleybollklubb;Alingsås;"";0;"";db:baseline
cmh7u65dt007zb54k16dy2n8v;Alingsås Vårgårda Discgolf;Alingsås;"";0;"";db:baseline
cmh7u65eb0082b54klu8pwez9;Alingsås/Vårgårda Demensförening;Alingsås;"";0;"";db:baseline
cmh7u65es0085b54kqnbnz2vb;Alingsåsakademin;Alingsås;"";0;"";db:baseline
cmh7u65fd0088b54krqtwnfmu;Alingsås-Nolhaga Rotaryklubb;Alingsås;"";0;"";db:baseline
cmh7u65fu008bb54k3wuahva2;Alingsåsortens Jaktskytteförening;Alingsås;"";0;"";db:baseline
cmh7u65gd008eb54k0wadslts;Alingsåsparkens Kulturförening;Alingsås;"";0;"";db:baseline
